#{"t_start": 1753737605.7958145, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
210.758397,80,1.735839
184.606737,80,2.188653
187.850371,80,2.581649
197.550249,80,3.010166
193.74392,80,3.429478
200.848582,80,3.860045
190.782701,80,4.299116
184.279627,80,4.732313
187.05319,80,5.163735
192.067098,80,5.584279
197.853384,80,5.983423
202.222398,80,6.361036
187.335596,80,6.74639
190.220214,80,7.18298
187.666816,80,7.630465
187.289564,80,8.070254
188.814506,80,8.50246
202.273107,80,8.897928
207.185507,80,9.385441
204.656284,80,9.876388
199.077391,80,10.423999
201.376137,80,10.972156
200.21449,80,11.522143
191.085443,80,12.031677
192.857689,80,12.569298
181.05926,80,28.176242
154.894262,80,28.745443
157.466506,80,29.286684
167.420656,80,29.781145
175.67843,80,30.293775
176.920344,80,30.812883
171.88489,80,31.345802
178.441705,80,31.768265
180.302968,80,32.198398
173.885865,80,32.624083
180.59132,80,33.05003
185.310804,80,33.517182
188.460571,80,33.920086
184.304688,80,34.377116
190.938697,80,34.821742
179.522946,80,35.266109
173.488305,80,35.728233
179.841663,80,36.164255
177.146239,80,36.604134
181.804178,80,37.046391
182.179518,80,37.488962
189.208613,80,37.946102
193.462165,80,38.416703
185.439754,80,38.872759
174.966715,80,39.44465
180.574873,80,39.987963
152.606536,80,55.722338
148.666869,80,56.189573
158.027956,80,56.710945
169.702698,80,57.25001
181.515407,80,57.800608
187.00055,80,58.355519
190.544854,80,58.888798
181.770283,80,59.440393
176.601358,80,60.065959
176.14791,80,60.623654
185.020876,80,61.206999
178.386677,80,61.757638
173.943756,80,62.205705
174.955133,80,62.657147
177.185762,80,63.143807
167.892255,80,63.610462
167.24234,80,64.075324
175.023491,80,64.522023
174.345943,80,64.950977
178.191205,80,65.369647
185.354291,80,65.810071
183.944065,80,66.23719
169.991853,80,66.682256
175.934486,80,67.13621
178.353659,80,67.587172
175.689407,80,83.771384
155.021117,80,84.299393
151.724749,80,84.794077
154.123177,80,85.314991
160.048525,80,86.090013
164.294294,80,86.655045
167.878859,80,87.218668
164.562172,80,87.834626
165.118594,80,88.434152
165.44009,80,88.98149
169.19423,80,89.578982
167.494884,80,90.111433
170.276492,80,90.616246
172.180088,80,91.17087
178.689369,80,91.747636
172.091605,80,92.352297
169.742973,80,92.910284
171.108944,80,93.590297
170.546877,80,94.179059
167.569286,80,94.758373
161.49562,80,95.182056
173.493101,80,95.638649
171.897805,80,96.137434
176.264998,80,96.597736
164.096688,80,97.063184
170.587535,80,97.657525
155.611382,80,113.347584
136.173081,80,113.846317
141.115044,80,114.346576
151.579601,80,114.785649
158.18725,80,115.237088
158.85684,80,115.734644
158.865096,80,116.183789
155.975255,80,116.61426
159.07738,80,117.049207
154.800328,80,117.455049
158.40441,80,117.902728
164.063721,80,118.442516
169.078257,80,118.971895
171.754694,80,119.489698
171.930785,80,119.981501
155.420719,80,120.531467
160.093649,80,121.107302
162.970951,80,121.649771
165.81977,80,122.145565
167.524304,80,122.637289
164.451537,80,123.146878
163.005601,80,123.630879
166.001603,80,124.101278
158.694788,80,124.541879
153.830048,80,125.011497
151.210733,80,125.502603
133.131649,80,142.456607
134.672788,80,143.031387
144.861019,80,143.523644
148.712083,80,144.13278
143.534582,80,144.711282
145.638733,80,145.225335
146.692407,80,145.814099
144.490837,80,146.30105
152.019629,80,146.831647
149.491265,80,147.400238
157.002525,80,147.949023
156.06263,80,148.502905
147.736369,80,149.004079
144.300511,80,149.572056
143.615332,80,150.217917
150.01441,80,150.808244
143.500605,80,151.270397
150.716361,80,151.863783
152.058446,80,152.473528
152.610888,80,153.000701
155.186636,80,153.60072
159.755585,80,154.121634
157.740762,80,154.699369
158.7469,80,155.224842
163.313245,80,155.697931
163.110688,80,172.637743
134.227954,80,173.168041
136.374369,80,173.740306
139.452702,80,174.272831
135.788076,80,174.756382
145.593202,80,175.191089
146.979223,80,175.662351
145.354405,80,176.147582
145.776157,80,176.699991
152.218503,80,177.223408
146.308652,80,177.791504
142.592807,80,178.280844
145.473779,80,178.820403
143.785176,80,179.318549
139.653219,80,179.830439
135.745429,80,180.417689
140.308313,80,180.94417
