#{"t_start": 1753806049.6499135, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
309.216557,80,1.544318
291.427533,80,1.991668
300.435402,80,2.406809
306.078891,80,2.867551
288.634144,80,3.271858
264.659337,80,3.677552
268.500726,80,4.129298
262.452545,80,4.586857
275.705924,80,5.000756
298.648437,80,5.45657
303.528332,80,5.889852
300.076097,80,6.330222
308.56845,80,6.751683
322.643478,80,7.137266
309.454459,80,7.561541
288.287322,80,7.978957
285.557193,80,8.396657
290.956764,80,8.82549
281.277195,80,9.378956
274.863223,80,9.867541
277.283717,80,10.380821
278.682944,80,10.836445
283.720596,80,11.259478
270.243644,80,11.79868
270.353279,80,12.299295
251.796205,80,28.806664
183.712613,80,29.349601
199.778369,80,29.855766
217.794312,80,30.337696
239.963575,80,30.777398
249.235211,80,31.222225
256.175159,80,31.712592
263.172659,80,32.280095
272.331535,80,32.842932
279.021806,80,33.43224
284.778581,80,33.993482
282.991516,80,34.600169
262.640703,80,35.28095
264.26059,80,35.904841
268.998496,80,36.499747
285.93048,80,37.090252
292.304502,80,37.726116
297.447786,80,38.316908
296.025799,80,38.787004
290.120959,80,39.310713
278.190447,80,39.858356
284.538386,80,40.373363
282.34509,80,40.963133
256.057457,80,41.495703
245.447116,80,41.99308
252.903964,80,42.467875
204.978159,80,58.89573
187.254329,80,59.516541
206.627152,80,60.158997
242.417403,80,60.759624
253.979075,80,61.402221
248.943776,80,62.015103
256.847519,80,62.618026
251.421168,80,63.229304
268.478,80,63.787191
273.663828,80,64.416715
263.963085,80,65.402732
275.913463,80,66.141057
289.634466,80,66.733955
267.108326,80,67.335311
256.832118,80,67.92369
262.169324,80,68.511907
264.901897,80,69.139845
258.2875,80,69.793912
254.998268,80,70.388551
266.22488,80,71.032398
278.215432,80,71.638005
278.061246,80,72.281388
267.596467,80,72.936334
256.175768,80,73.520421
257.031855,80,74.157475
250.779515,80,92.908962
186.102172,80,93.571329
193.373022,80,94.21593
204.962599,80,95.01353
231.051011,80,95.8305
252.710012,80,96.587286
260.177451,80,97.357052
253.663174,80,98.072923
256.617757,80,98.790944
255.851723,80,99.502366
258.961616,80,100.291622
259.568208,80,100.949309
235.974892,80,101.629449
226.15671,80,102.313438
234.642069,80,103.199544
249.374487,80,103.861011
247.686302,80,104.501097
254.506745,80,105.102325
251.978628,80,105.697904
253.903358,80,106.335832
262.773851,80,106.961412
264.757155,80,107.567323
255.184816,80,108.178946
253.294665,80,108.756895
254.567611,80,109.377317
264.511945,80,110.239719
211.538887,80,129.162615
166.999944,80,129.739263
176.62967,80,130.323925
197.882065,80,130.909715
220.558191,80,131.485861
227.0026,80,132.075918
229.496462,80,132.662217
242.573981,80,133.259089
257.32767,80,133.889813
250.191788,80,134.501715
250.751534,80,135.07662
245.265884,80,135.661573
243.453077,80,136.265849
244.208256,80,136.858518
229.629527,80,137.493402
227.440609,80,138.136791
241.229789,80,138.740837
247.619739,80,139.315097
