#{"t_start": 1753687631.6329482, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
76.446508,80,4.156218
67.93638,80,4.529334
61.791948,80,4.888269
57.812706,80,5.22884
57.490222,80,5.581964
66.025489,80,5.951773
65.116482,80,6.42817
59.233687,80,6.799294
59.954476,80,7.143574
59.106429,80,7.49871
61.396178,80,7.879263
61.151635,80,8.316914
63.700108,80,8.646898
60.813371,80,9.026984
60.496893,80,9.409654
62.830129,80,9.744322
59.98097,80,10.126075
55.460244,80,10.522582
61.256678,80,10.900969
62.351657,80,11.290767
60.301803,80,11.656758
61.336396,80,12.017241
61.276455,80,12.413984
64.83416,80,12.840396
68.693496,80,13.239547
54.562944,80,21.307694
22.753712,80,21.697267
26.22267,80,22.084317
34.600596,80,22.51867
43.889834,80,22.942742
50.862254,80,23.315845
55.753714,80,23.766472
56.15146,80,24.121415
60.78192,80,24.561854
57.823689,80,24.952054
55.039495,80,25.343678
55.15507,80,25.733051
55.178532,80,26.12718
54.657628,80,26.514128
55.720062,80,26.889491
55.193657,80,27.288208
56.062023,80,27.727634
57.934581,80,28.101503
52.932128,80,28.466682
48.96559,80,28.840496
47.018269,80,29.189788
52.160508,80,29.565094
54.149123,80,29.974543
55.961753,80,30.368013
51.479534,80,30.784763
47.524428,80,31.273965
31.00821,80,39.576971
23.726068,80,40.057284
27.78012,80,40.433879
35.720275,80,40.831852
38.644331,80,41.192572
44.634335,80,41.584384
42.664861,80,41.973534
43.96159,80,42.359048
40.132054,80,42.729581
39.484549,80,43.119884
39.047892,80,43.520239
41.158408,80,43.967855
45.616788,80,44.337377
46.219997,80,44.748435
43.732364,80,45.144844
35.278819,80,45.528844
43.763502,80,45.940794
48.231714,80,46.338469
47.121037,80,46.726694
43.414212,80,47.107919
47.216009,80,47.475409
46.492194,80,47.869913
43.554901,80,48.254291
48.717017,80,48.67688
50.989846,80,49.12728
42.748726,80,56.692676
25.981482,80,57.098293
28.871404,80,57.493708
33.655035,80,57.885778
36.624253,80,58.352024
40.188927,80,58.770488
43.100011,80,59.318016
46.896648,80,59.778725
49.01036,80,60.252817
49.490372,80,60.851662
44.04884,80,61.260781
41.342263,80,61.758304
39.759687,80,62.194431
45.437025,80,62.617242
42.565577,80,63.02784
43.521559,80,63.503018
46.804757,80,64.038832
50.395495,80,64.47394
48.468274,80,64.857534
48.251591,80,65.24331
48.942249,80,65.622227
46.47881,80,66.001913
45.266857,80,66.38991
42.0032,80,66.801696
43.98874,80,67.217289
42.676807,80,67.673065
35.772682,80,75.544465
28.181484,80,76.02164
28.912782,80,76.414022
34.275119,80,76.802284
39.406786,80,77.200781
39.529522,80,77.584448
41.741959,80,78.002632
40.373398,80,78.522773
41.99791,80,78.962037
43.251119,80,79.382906
44.940678,80,79.800744
47.752881,80,80.205904
41.202344,80,80.586782
43.918546,80,80.94995
44.979637,80,81.322013
45.203698,80,81.700151
42.202016,80,82.075883
42.297936,80,82.455526
42.425033,80,82.831403
44.45356,80,83.216083
43.48368,80,83.593379
39.414207,80,84.026486
44.050651,80,84.457781
47.219025,80,84.916777
38.358709,80,85.388139
33.245055,80,85.859387
24.701121,80,93.171782
27.672247,80,93.561355
29.339654,80,93.97668
31.105085,80,94.37669
33.75225,80,94.806429
36.303589,80,95.231533
37.692784,80,95.793395
41.074402,80,96.318271
42.942092,80,96.993045
38.425476,80,97.512332
31.713349,80,97.956947
26.283128,80,98.388322
29.597002,80,99.015154
28.450093,80,99.497011
25.691102,80,100.056847
32.247383,80,100.4956
31.854134,80,100.93956
36.159753,80,101.383261
41.624422,80,101.851666
40.298453,80,102.233331
40.913452,80,102.658188
34.552339,80,103.182065
39.622952,80,103.713948
42.783592,80,104.277406
45.13865,80,104.807824
42.505304,80,112.476889
32.997238,80,112.930795
33.82151,80,113.338366
36.233376,80,113.774511
35.899723,80,114.238991
39.577074,80,114.665609
32.844378,80,115.151134
36.474257,80,115.64831
40.673884,80,116.128681
37.724615,80,116.763679
36.991239,80,117.34
27.10624,80,117.900919
32.094774,80,118.417653
37.12178,80,118.963379
40.221831,80,119.541102
35.264931,80,120.19235
33.584932,80,120.763196
26.802647,80,121.26916
33.549023,80,121.714923
31.192276,80,122.143243
35.635582,80,122.702463
36.774678,80,123.241387
36.012355,80,123.810527
31.689424,80,124.381699
29.814594,80,124.892289
23.025225,80,125.395517
25.712857,80,133.40634
25.819175,80,133.892417
29.847992,80,134.328773
27.143184,80,134.843238
25.281998,80,135.38792
26.144544,80,136.04555
30.645876,80,136.567304
36.341344,80,137.015375
33.651937,80,137.496197
37.642959,80,138.000984
37.78018,80,138.448103
39.06915,80,138.923926
35.135417,80,139.407108
30.667675,80,139.900877
23.812004,80,140.348919
27.812491,80,140.856502
32.21331,80,141.368339
30.762024,80,141.853666
33.285949,80,142.313399
28.649304,80,142.75904
23.482523,80,143.193076
27.242243,80,143.787007
26.937983,80,144.263657
32.8931,80,144.749022
34.329524,80,145.257771
35.99523,80,152.696203
