#{"t_start": 1753806049.6551054, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
54.967567,80,1.552548
40.704294,80,1.945304
36.838578,80,2.317151
33.905626,80,2.69491
25.987856,80,3.046038
28.135623,80,3.426734
22.745994,80,3.807575
16.082245,80,4.225276
23.404036,80,4.69123
22.593159,80,5.077935
26.565361,80,5.491523
28.218041,80,5.865254
34.089035,80,6.272504
33.958772,80,6.660092
30.914221,80,7.082217
33.959727,80,7.46869
31.011892,80,7.875217
23.119283,80,8.248094
28.570112,80,8.647301
22.88832,80,9.036208
25.213704,80,9.601676
24.572444,80,10.03618
28.938814,80,10.45858
25.442271,80,10.865911
29.619939,80,11.296267
24.55971,80,19.129595
18.360914,80,19.924109
19.909221,80,20.505436
23.449523,80,21.007442
26.803627,80,21.645851
27.682968,80,22.18062
32.309687,80,22.70382
32.723207,80,23.177284
37.287778,80,23.637049
33.217089,80,24.095397
32.087421,80,24.570362
24.671141,80,25.132627
20.810164,80,25.71989
20.2916,80,26.170979
23.572165,80,26.659034
22.728334,80,27.124587
25.085186,80,27.580842
30.286413,80,28.050557
24.500089,80,28.537882
20.859717,80,29.078243
17.018825,80,29.57697
23.663882,80,30.137591
26.647749,80,30.623926
25.115004,80,31.013019
18.558379,80,31.398536
13.214012,80,31.844846
12.781618,80,38.794987
14.367304,80,39.241184
17.80239,80,39.7215
24.692627,80,40.225204
22.833862,80,40.699923
27.305985,80,41.231612
30.62565,80,41.687954
23.800655,80,42.167705
21.953209,80,42.603336
19.715167,80,43.177623
19.561322,80,43.642308
17.354201,80,44.221386
22.192012,80,44.645683
22.773629,80,45.178194
21.222765,80,45.707558
16.763564,80,46.238249
18.793709,80,46.783675
15.738342,80,47.290414
18.139861,80,47.787197
21.712192,80,48.326677
27.14831,80,48.801843
27.986583,80,49.320848
21.261966,80,49.882686
23.904094,80,50.348592
21.945503,80,50.793447
19.877358,80,58.970393
18.722755,80,59.537007
20.686777,80,60.106092
23.876787,80,60.610549
28.673466,80,61.182552
31.600891,80,61.708545
29.805209,80,62.249446
20.308041,80,62.801
16.993761,80,63.347426
21.246975,80,63.88529
28.220598,80,64.522109
26.818724,80,65.338415
25.064182,80,66.042866
21.792662,80,66.617044
16.16621,80,67.172835
20.258427,80,67.703933
22.166232,80,68.22831
20.523556,80,68.765982
24.072455,80,69.325325
23.170465,80,69.904838
14.420689,80,70.44219
18.837522,80,71.025677
24.833797,80,71.579871
17.979798,80,72.16675
22.456221,80,72.748776
23.706694,80,73.321405
15.930159,80,81.454636
19.200375,80,82.037625
17.967682,80,82.598743
21.489332,80,83.196381
26.446832,80,83.788951
30.042019,80,84.340885
28.958467,80,84.89209
33.174323,80,85.503309
30.367831,80,86.105844
33.91223,80,86.666538
36.828892,80,87.233422
36.28225,80,87.795393
21.321879,80,88.360165
16.4033,80,88.928921
20.710187,80,89.527791
26.521232,80,90.088579
22.731292,80,90.654919
28.027268,80,91.234901
24.982887,80,91.857755
16.096411,80,92.446638
23.864006,80,93.068699
21.383852,80,93.630837
26.231135,80,94.271641
29.572956,80,94.991732
22.876292,80,95.752019
12.550087,80,96.368115
14.8485,80,104.589452
17.423999,80,105.120266
20.633432,80,105.682142
26.043766,80,106.240132
25.171603,80,106.80708
18.391072,80,107.333622
21.629381,80,107.889849
13.237527,80,108.44135
16.862171,80,108.990009
19.794248,80,109.677744
18.015311,80,110.455148
14.117003,80,111.019726
19.196377,80,111.57971
