#{"t_start": 1753737605.7603946, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
0.0,80,1.699339
0.0,80,1.998866
0.0,80,2.289639
0.0,80,2.541966
0.0,80,2.813406
0.0,80,3.103204
0.0,80,3.379697
0.0,80,3.64926
0.0,80,3.947164
0.0,80,4.231886
0.0,80,4.519838
0.0,80,4.800896
0.0,80,5.080251
0.0,80,5.36492
0.0,80,5.669904
0.0,80,5.928622
0.0,80,6.18718
0.0,80,6.546564
0.0,80,6.808134
0.0,80,7.098457
0.0,80,7.388237
0.0,80,7.678529
0.0,80,7.969619
0.0,80,8.255916
0.0,80,8.545716
0.0,80,15.631663
0.0,80,15.953424
0.0,80,16.287047
0.0,80,16.57606
0.0,80,16.939215
0.0,80,17.31808
0.0,80,17.693308
0.0,80,18.053057
0.0,80,18.425043
0.0,80,18.794343
0.0,80,19.173292
0.0,80,19.553413
0.0,80,19.986866
0.0,80,20.385537
0.0,80,20.741244
0.0,80,21.104876
0.0,80,21.34032
0.0,80,21.626692
0.0,80,21.932046
0.0,80,22.223918
0.0,80,22.49331
0.0,80,22.801298
0.0,80,23.138968
0.0,80,23.485643
0.0,80,23.822477
0.0,80,24.188901
0.0,80,31.540961
0.0,80,31.797298
0.0,80,32.06719
0.0,80,32.353026
0.0,80,32.631709
0.0,80,32.913666
0.0,80,33.195777
0.0,80,33.449251
0.0,80,33.71687
0.0,80,33.97376
0.0,80,34.263347
0.0,80,34.572361
0.0,80,34.846334
0.0,80,35.173942
0.0,80,35.464598
0.0,80,35.757953
0.0,80,36.101811
0.0,80,36.382905
0.0,80,36.675642
0.0,80,36.959844
0.0,80,37.239101
0.0,80,37.526128
0.0,80,37.85388
0.0,80,38.154722
0.0,80,38.446207
0.0,80,47.092436
0.0,80,47.471803
0.0,80,47.864356
0.0,80,48.25246
0.0,80,48.609732
0.0,80,48.988814
0.0,80,49.376086
0.0,80,49.73544
0.0,80,50.040226
0.0,80,50.38007
0.0,80,50.730187
0.0,80,51.070698
0.0,80,51.435392
0.0,80,51.784328
0.0,80,52.107708
0.0,80,52.457033
0.0,80,52.797508
0.0,80,53.13473
0.0,80,53.480266
0.0,80,53.825304
0.0,80,54.169118
0.0,80,54.510824
0.0,80,54.85101
0.0,80,55.201861
0.0,80,55.522991
0.0,80,55.797832
0.0,80,61.992385
0.0,80,62.287852
0.0,80,62.581149
0.0,80,62.869214
0.0,80,63.113709
0.0,80,63.394712
0.0,80,63.692237
0.0,80,63.973489
0.0,80,64.234707
0.0,80,64.526796
0.0,80,64.815398
0.0,80,65.081959
0.0,80,65.376441
0.0,80,65.660605
0.0,80,65.96042
0.0,80,66.279161
0.0,80,66.568187
0.0,80,66.858198
0.0,80,67.137264
0.0,80,67.420765
0.0,80,67.700134
0.0,80,67.991229
0.0,80,68.28694
0.0,80,68.610142
0.0,80,68.946768
0.0,80,69.289673
0.0,80,78.268785
0.0,80,78.649966
0.0,80,79.020422
0.0,80,79.44843
0.0,80,79.828358
0.0,80,80.186352
0.0,80,80.626964
0.0,80,80.938145
0.0,80,81.245466
0.0,80,81.666523
0.0,80,82.001259
0.0,80,82.352963
0.0,80,82.688337
0.0,80,82.998679
0.0,80,83.325385
0.0,80,83.660021
