#{"t_start": 1753687631.6401637, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
4.286667,80,4.148214
4.328811,80,4.517024
4.620987,80,4.872587
4.912917,80,5.211868
3.764666,80,5.561105
3.968225,80,5.929111
5.219867,80,6.250629
3.738939,80,6.592535
5.162623,80,6.942418
4.534647,80,7.343183
4.245398,80,7.717743
4.107458,80,8.065936
4.67092,80,8.387661
4.841437,80,8.762781
4.121863,80,9.144143
4.251655,80,9.513729
4.662255,80,9.850178
4.116066,80,10.234361
4.857087,80,10.617142
4.125661,80,10.996475
4.364787,80,11.385389
4.117738,80,11.774839
4.404416,80,12.147379
3.872636,80,12.522247
3.881565,80,12.897708
3.911493,80,20.672412
3.403766,80,21.14604
3.173982,80,21.528021
3.521076,80,21.911653
3.393789,80,22.331605
3.298713,80,22.72884
3.458683,80,23.131964
3.178973,80,23.620712
3.860461,80,23.986994
3.407161,80,24.337907
3.949976,80,24.711761
4.561021,80,25.09549
3.721304,80,25.482762
3.484817,80,25.860448
4.007469,80,26.239116
4.084656,80,26.620597
3.36475,80,27.002763
3.84645,80,27.389811
3.946378,80,27.805863
4.588307,80,28.165164
3.253891,80,28.533482
4.058045,80,28.924204
3.657536,80,29.275967
4.113641,80,29.656568
4.393614,80,30.059991
3.297346,80,30.440881
2.948547,80,38.566992
2.921997,80,39.024225
2.8128,80,39.459284
3.052127,80,39.944352
2.540049,80,40.334306
3.077049,80,40.705936
3.011025,80,41.083179
3.142164,80,41.463452
3.106345,80,41.846864
3.560226,80,42.226708
3.489899,80,42.640963
3.030856,80,43.034582
3.105518,80,43.41824
2.709772,80,43.831902
3.797626,80,44.206302
3.38089,80,44.598305
2.977497,80,44.983372
2.838759,80,45.374865
3.341934,80,45.774224
2.949056,80,46.180451
2.927664,80,46.552247
3.380701,80,46.939733
2.565648,80,47.302928
2.658749,80,47.670382
3.175651,80,48.055732
2.793696,80,55.55034
2.82937,80,55.990859
2.457569,80,56.487687
2.386823,80,56.896621
2.507067,80,57.2913
2.499303,80,57.672334
2.529591,80,58.147796
2.464647,80,58.576735
2.366587,80,59.062944
2.298859,80,59.514186
2.660529,80,59.908396
2.666696,80,60.394624
3.379425,80,60.914416
2.547572,80,61.319977
2.481334,80,61.818258
2.359501,80,62.226074
3.105431,80,62.649748
2.745605,80,63.141593
2.443091,80,63.647969
2.999277,80,64.064196
2.481364,80,64.514065
2.441372,80,64.894889
2.419485,80,65.276733
2.469561,80,65.657126
2.323001,80,66.029814
2.529084,80,66.412661
2.123164,80,74.060909
2.38638,80,74.52787
2.138753,80,74.964821
2.206834,80,75.411673
2.352206,80,75.79869
2.458757,80,76.19441
2.045456,80,76.57271
2.481118,80,76.967129
2.231439,80,77.354282
2.1209,80,77.727461
2.152083,80,78.204247
2.306274,80,78.624933
2.5376,80,79.069798
2.193058,80,79.465676
2.238406,80,79.875442
2.430193,80,80.30203
2.154212,80,80.66625
2.258562,80,81.025758
2.335025,80,81.429276
1.948266,80,81.804688
2.420534,80,82.196102
2.026562,80,82.616029
1.983339,80,83.004212
2.378748,80,83.399387
2.740966,80,83.779388
1.966346,80,84.192976
2.141337,80,91.790987
2.376478,80,92.25355
2.259512,80,92.762256
2.144239,80,93.220103
2.455613,80,93.597915
1.908972,80,94.002614
2.237339,80,94.41196
1.94626,80,94.851174
1.815996,80,95.269389
2.221622,80,95.836797
2.30392,80,96.302801
1.865868,80,97.001118
2.249755,80,97.464756
2.19696,80,97.953287
2.064386,80,98.359587
2.266407,80,98.946455
1.74793,80,99.477372
1.883931,80,100.01681
1.952704,80,100.489246
1.779546,80,100.906693
2.284166,80,101.339028
1.747655,80,101.862864
1.895309,80,102.247167
1.841423,80,102.672155
1.947957,80,103.229027
1.834866,80,111.222257
1.781746,80,111.740191
2.194266,80,112.200382
1.966555,80,112.638438
1.818354,80,113.076387
2.017794,80,113.505145
1.696807,80,113.950014
1.967683,80,114.433803
1.729613,80,114.888962
1.84998,80,115.333521
2.134838,80,115.8719
2.054549,80,116.397326
1.721729,80,116.941101
1.757404,80,117.447088
1.842945,80,117.946101
1.725354,80,118.49138
1.689478,80,119.002114
1.598378,80,119.594984
2.180827,80,120.12872
1.901748,80,120.694271
1.818803,80,121.183633
1.762405,80,121.596689
2.059032,80,122.027292
1.975804,80,122.531359
1.963777,80,122.972176
1.982754,80,123.487998
1.915731,80,131.710615
1.535022,80,132.264869
1.853071,80,132.849093
1.763725,80,133.293936
1.722959,80,133.739038
1.672737,80,134.192052
1.534159,80,134.632848
1.68575,80,135.12747
1.518423,80,135.631248
1.709815,80,136.197448
1.639863,80,136.63023
1.644563,80,137.022372
1.928487,80,137.47989
1.895356,80,137.9809
1.88606,80,138.388941
1.639493,80,138.839887
1.659704,80,139.360322
1.691312,80,139.819514
1.617476,80,140.235043
1.908849,80,140.705048
1.853746,80,141.199069
1.636955,80,141.641667
1.47791,80,142.025798
1.821161,80,142.48218
1.799424,80,142.965069
1.709825,80,150.801713
1.582854,80,151.219776
1.603774,80,151.675606
1.612866,80,152.146858
1.559196,80,152.611041
1.463357,80,153.00612
1.829994,80,153.403531
1.760013,80,153.79053
1.593299,80,154.170655
1.700766,80,154.553567
1.729009,80,154.936635
1.547395,80,155.33826
1.571148,80,155.755012
1.723158,80,156.142353
1.578516,80,156.587453
1.438302,80,157.030245
1.774752,80,157.466351
2.150972,80,157.855656
1.384842,80,158.252551
1.72739,80,158.670319
1.720962,80,159.075266
1.418751,80,159.51696
1.646303,80,159.940464
1.773972,80,160.321504
1.804222,80,160.697759
1.531606,80,161.087994
1.512119,80,168.646102
1.553321,80,169.090958
1.395055,80,169.547005
1.689715,80,169.97579
1.345233,80,170.430437
1.740982,80,170.862565
1.469698,80,171.261938
1.520059,80,171.638668
1.390241,80,172.047823
1.967681,80,172.458093
2.042694,80,172.854686
1.520631,80,173.237998
1.49864,80,173.620006
1.803369,80,173.997087
1.78301,80,174.386403
1.511874,80,174.776321
1.653793,80,175.185046
1.893694,80,175.593168
1.559689,80,175.997392
1.411791,80,176.365078
1.607055,80,176.756512
1.629922,80,177.120554
1.511036,80,177.498558
1.395598,80,177.898363
1.54066,80,178.27406
1.431304,80,178.674726
1.474689,80,186.349546
1.317602,80,186.758583
1.49864,80,187.219977
1.526499,80,187.690763
2.104021,80,188.191264
1.479855,80,188.615075
1.481283,80,189.009887
1.790002,80,189.406518
1.836921,80,189.798889
1.772533,80,190.187868
1.781568,80,190.585361
1.654324,80,190.986853
1.392644,80,191.399625
1.725098,80,191.817275
1.530788,80,192.250037
1.365352,80,192.673228
1.799253,80,193.062781
1.317912,80,193.457837
1.699988,80,193.874491
1.305398,80,194.331823
1.80014,80,194.738962
1.914932,80,195.168617
1.422117,80,195.58073
2.057422,80,195.997548
1.310169,80,196.41584
1.468483,80,204.023463
1.438657,80,204.688843
1.674701,80,205.331965
1.713553,80,205.948489
1.469974,80,206.464246
1.75691,80,207.015408
1.568547,80,207.566705
1.563872,80,208.104006
1.629826,80,208.649771
1.426219,80,209.1113
1.482966,80,209.528063
