Wall time,Step,Value
1753514169.1568239,3072,0.0
1753514236.3820384,9728,0.0
1753514266.4162672,12800,0.0
1753514367.1590455,20992,0.0
1753514381.6421726,22016,0.0
1753514403.1594095,23552,0.0
1753514417.468475,24576,0.0
1753514458.5532694,27648,0.0
1753514478.710383,29184,0.0
1753514577.7281418,36864,0.0
1753514600.0979822,38400,0.0
1753514635.9111314,40960,0.0
1753514680.9055166,45056,0.0
1753514728.530972,48640,0.3109374940395355
1753514787.7437005,52736,0.0
1753514809.6368659,54272,0.0
1753514818.0442474,54784,0.0
1753514867.2370622,58368,0.0
1753514903.3882034,60928,0.0
1753514961.9223542,65024,0.0
1753515056.9855988,71680,0.0
1753515138.6637657,77312,0.0
1753515174.8805437,79872,0.0
1753515196.7138495,81408,0.0
1753515259.433247,86016,0.0
1753515266.6923618,86528,0.0
1753515336.643219,91648,0.0
1753515369.6594884,94208,0.0
1753515382.6131763,95232,0.0
1753515389.2499716,95744,0.75390625
1753515419.6103396,97792,0.0
1753515469.7288885,101888,0.0
1753515524.9664288,105984,0.0
1753515530.1232197,106496,0.0
1753515559.0080354,109056,0.0
1753515620.5780492,114688,0.0
1753515656.5504856,117760,0.9156249761581421
1753515683.5542808,120320,0.9437500238418579
1753515701.924489,121856,0.0
1753515782.4876244,128000,0.0
1753515822.8536692,131072,0.0
1753515859.6485436,133632,0.0
1753515880.8214636,135168,0.0
1753515909.6359243,137216,0.0
1753515938.671949,139264,0.0
1753515952.843115,140288,0.0
1753516086.9817464,150016,0.0
1753516122.8192086,152576,0.0
1753516129.6098678,153088,0.0
1753516164.9836733,155648,0.0
1753516199.2548554,158208,0.0
1753516211.3961523,159232,0.0
1753516259.4731798,163328,0.0
1753516266.5946555,163840,0.0
1753516317.6459105,167424,0.0
1753516345.8361142,169472,0.0
1753516408.8911848,174080,0.0
1753516466.294531,178176,0.0
1753516579.5256503,186368,0.936718761920929
1753516607.5261626,188416,0.0
1753516649.8188286,191488,0.0
1753516678.5767212,193536,0.0
1753516694.321276,194560,0.0
1753516785.5884013,201216,0.0
1753517003.8661957,216064,0.0
1753517013.6831334,216576,0.0
1753517031.9040008,217600,0.0
1753517084.4916902,220672,0.0
1753517152.4085612,225280,0.0
